-0.01	0.00	10.00	15.91	31.82	45.00
0.00	0.00	10.00	15.91	31.82	45.00
0.01	0.16	10.32	15.91	31.72	44.93
0.02	0.32	10.63	15.91	31.62	44.86
0.03	0.48	10.95	15.91	31.53	44.79
0.04	0.64	11.26	15.91	31.43	44.72
0.05	0.80	11.58	15.91	31.33	44.65
0.06	0.95	11.89	15.91	31.23	44.59
0.07	1.11	12.20	15.91	31.13	44.52
0.08	1.27	12.51	15.91	31.04	44.45
0.09	1.43	12.82	15.91	30.94	44.38
0.10	1.59	13.13	15.91	30.84	44.31
0.11	1.75	13.44	15.91	30.74	44.24
0.12	1.91	13.75	15.91	30.64	44.18
0.13	2.07	14.05	15.91	30.54	44.11
0.14	2.23	14.36	15.91	30.45	44.04
0.15	2.39	14.66	15.91	30.35	43.97
0.16	2.55	14.97	15.91	30.25	43.90
0.17	2.70	15.27	15.91	30.15	43.84
0.18	2.86	15.57	15.91	30.05	43.77
0.19	3.02	15.87	15.91	29.96	43.70
0.20	3.18	16.17	15.91	29.86	43.64
0.21	3.34	16.47	15.91	29.76	43.57
0.22	3.50	16.76	15.91	29.66	43.50
0.23	3.66	17.06	15.91	29.56	43.43
0.24	3.82	17.35	15.91	29.47	43.37
0.25	3.98	17.65	15.91	29.37	43.30
0.26	4.14	17.94	15.91	29.27	43.23
0.27	4.30	18.23	15.91	29.17	43.17
0.28	4.45	18.53	15.91	29.07	43.10
0.29	4.61	18.82	15.91	28.98	43.04
0.30	4.77	19.10	15.91	28.88	42.97
0.31	4.93	19.39	15.91	28.78	42.90
0.32	5.09	19.68	15.91	28.68	42.84
0.33	5.25	19.97	15.91	28.58	42.77
0.34	5.41	20.25	15.91	28.49	42.71
0.35	5.57	20.54	15.91	28.39	42.64
0.36	5.73	20.82	15.91	28.29	42.58
0.37	5.89	21.10	15.91	28.19	42.51
0.38	6.05	21.38	15.91	28.09	42.45
0.39	6.20	21.66	15.91	28.00	42.38
0.40	6.36	21.94	15.91	27.90	42.32
0.41	6.52	22.22	15.91	27.80	42.25
0.42	6.68	22.50	15.91	27.70	42.19
0.43	6.84	22.78	15.91	27.60	42.12
0.44	7.00	23.05	15.91	27.50	42.06
0.45	7.16	23.33	15.91	27.41	42.00
0.46	7.32	23.60	15.91	27.31	41.93
0.47	7.48	23.87	15.91	27.21	41.87
0.48	7.64	24.14	15.91	27.11	41.80
0.49	7.80	24.41	15.91	27.01	41.74
0.50	7.95	24.68	15.91	26.92	41.68
0.51	8.11	24.95	15.91	26.82	41.61
0.52	8.27	25.22	15.91	26.72	41.55
0.53	8.43	25.49	15.91	26.62	41.49
0.54	8.59	25.75	15.91	26.52	41.43
0.55	8.75	26.02	15.91	26.43	41.36
0.56	8.91	26.28	15.91	26.33	41.30
