0.00	0.00	0.00	30.00	14.10	24.41	10.26
0.01	0.14	0.24	30.10	13.78	23.86	9.93
0.02	0.27	0.47	30.20	13.47	23.34	9.61
0.03	0.40	0.70	30.29	13.18	22.83	9.31
0.04	0.53	0.92	30.38	12.90	22.35	9.01
0.05	0.66	1.14	30.47	12.64	21.89	8.73
0.06	0.78	1.36	30.55	12.38	21.45	8.46
0.07	0.91	1.57	30.63	12.14	21.03	8.19
0.08	1.02	1.77	30.71	11.91	20.62	7.94
0.09	1.14	1.98	30.79	11.68	20.23	7.69
0.10	1.26	2.17	30.86	11.46	19.86	7.45
0.11	1.37	2.37	30.94	11.26	19.50	7.21
0.12	1.48	2.56	31.01	11.06	19.15	6.99
0.13	1.59	2.75	31.07	10.86	18.81	6.77
0.14	1.69	2.93	31.14	10.68	18.49	6.55
0.15	1.80	3.12	31.20	10.50	18.18	6.34
0.16	1.90	3.29	31.26	10.32	17.88	6.14
0.17	2.00	3.47	31.32	10.16	17.59	5.94
0.18	2.10	3.64	31.38	9.99	17.31	5.75
0.19	2.20	3.81	31.44	9.84	17.04	5.56
0.20	2.30	3.98	31.49	9.69	16.78	5.38
0.21	2.39	4.15	31.54	9.54	16.52	5.20
0.22	2.49	4.31	31.59	9.40	16.28	5.02
0.23	2.58	4.47	31.64	9.26	16.04	4.85
0.24	2.67	4.63	31.69	9.13	15.81	4.68
0.25	2.76	4.78	31.73	9.00	15.58	4.52
0.26	2.85	4.94	31.78	8.87	15.36	4.36
0.27	2.94	5.09	31.82	8.75	15.15	4.20
0.28	3.02	5.24	31.86	8.63	14.95	4.05
0.29	3.11	5.39	31.90	8.51	14.75	3.89
0.30	3.19	5.53	31.93	8.40	14.55	3.74
0.31	3.28	5.68	31.97	8.29	14.37	3.60
0.32	3.36	5.82	32.01	8.19	14.18	3.45
0.33	3.44	5.96	32.04	8.08	14.00	3.31
0.34	3.52	6.10	32.07	7.98	13.83	3.17
0.35	3.60	6.23	32.10	7.89	13.66	3.04
0.36	3.68	6.37	32.13	7.79	13.49	2.90
0.37	3.75	6.50	32.16	7.70	13.33	2.77
0.38	3.83	6.63	32.18	7.61	13.18	2.64
0.39	3.90	6.76	32.21	7.52	13.02	2.51
0.40	3.98	6.89	32.23	7.43	12.87	2.38
0.41	4.05	7.02	32.26	7.35	12.73	2.26
0.42	4.12	7.14	32.28	7.27	12.58	2.13
0.43	4.20	7.27	32.30	7.19	12.45	2.01
0.44	4.27	7.39	32.32	7.11	12.31	1.89
0.45	4.34	7.51	32.33	7.03	12.18	1.77
0.46	4.41	7.63	32.35	6.96	12.05	1.66
0.47	4.48	7.75	32.37	6.88	11.92	1.54
0.48	4.54	7.87	32.38	6.81	11.80	1.43
0.49	4.61	7.99	32.39	6.74	11.67	1.31
0.50	4.68	8.10	32.40	6.67	11.55	1.20
0.51	4.74	8.22	32.42	6.60	11.44	1.09
0.52	4.81	8.33	32.43	6.54	11.32	0.98
0.53	4.87	8.44	32.43	6.47	11.21	0.88
0.54	4.94	8.55	32.44	6.41	11.10	0.77
0.55	5.00	8.66	32.45	6.35	10.99	0.66
0.56	5.07	8.77	32.45	6.29	10.89	0.56
0.57	5.13	8.88	32.46	6.23	10.79	0.46
0.58	5.19	8.99	32.46	6.17	10.69	0.35
0.59	5.25	9.09	32.46	6.11	10.59	0.25
0.60	5.31	9.20	32.47	6.06	10.49	0.15
0.61	5.37	9.30	32.47	6.00	10.39	0.05
0.62	5.43	9.41	32.47	5.95	10.30	-0.05
0.63	5.49	9.51	32.46	5.89	10.21	-0.14
0.64	5.55	9.61	32.46	5.84	10.12	-0.24
0.65	5.61	9.71	32.46	5.79	10.03	-0.34
0.66	5.66	9.81	32.45	5.74	9.94	-0.43
0.67	5.72	9.91	32.45	5.69	9.85	-0.53
0.68	5.78	10.00	32.44	5.64	9.77	-0.62
0.69	5.83	10.10	32.44	5.59	9.69	-0.71
0.70	5.89	10.20	32.43	5.54	9.60	-0.80
0.71	5.94	10.29	32.42	5.50	9.52	-0.90
0.72	6.00	10.39	32.41	5.45	9.44	-0.99
0.73	6.05	10.48	32.40	5.41	9.37	-1.08
0.74	6.10	10.57	32.39	5.36	9.29	-1.17
0.75	6.16	10.67	32.37	5.32	9.21	-1.25
0.76	6.21	10.76	32.36	5.28	9.14	-1.34
0.77	6.26	10.85	32.35	5.23	9.07	-1.43
0.78	6.31	10.94	32.33	5.19	8.99	-1.52
0.79	6.37	11.03	32.32	5.15	8.92	-1.60
0.80	6.42	11.12	32.30	5.11	8.85	-1.69
0.81	6.47	11.20	32.28	5.07	8.78	-1.77
0.82	6.52	11.29	32.26	5.03	8.72	-1.86
0.83	6.57	11.38	32.24	4.99	8.65	-1.94
0.84	6.62	11.46	32.22	4.96	8.58	-2.02
0.85	6.67	11.55	32.20	4.92	8.52	-2.11
