0.00	0.00	30.00
0.10	-0.97	29.95
0.20	-1.91	29.81
0.30	-2.79	29.57
0.40	-3.58	29.25
0.50	-4.26	28.86
0.60	-4.85	28.40
0.70	-5.34	27.89
0.80	-5.74	27.34
0.90	-6.06	26.75
1.00	-6.32	26.13
1.10	-6.52	25.49
1.20	-6.67	24.83
1.30	-6.80	24.15
1.40	-6.89	23.47
1.50	-6.96	22.77
1.60	-7.02	22.07
1.70	-7.06	21.37
1.80	-7.10	20.66
1.90	-7.12	19.95
2.00	-7.14	19.24
2.10	-7.16	18.52
2.20	-7.17	17.81
2.30	-7.18	17.09
2.40	-7.18	16.37
2.50	-7.19	15.65
2.60	-7.19	14.93
2.70	-7.19	14.22
2.80	-7.20	13.50
2.90	-7.20	12.78
3.00	-7.20	12.06
3.10	-7.20	11.34
3.20	-7.20	10.62
3.30	-7.20	9.90
3.40	-7.20	9.18
3.50	-7.20	8.46
3.60	-7.20	7.74
3.70	-7.20	7.02
3.80	-7.20	6.29
3.90	-7.20	5.57
4.00	-7.20	4.85
4.10	-7.20	4.13
4.20	-7.20	3.41
4.30	-7.20	2.69
4.40	-7.20	1.97
4.50	-7.20	1.25
4.60	-7.20	0.53
